listing_id,title,url,price,location,property_type,bedrooms,bathrooms,area,furnished,description,images,seller_name,fetched_at
U5917736,Studio Penthouse for rent at Mahkota Impian,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-mahkota-impian-in-mukim-8-penang-u5917736,RM500,"Mukim 8, Central Seberang Perai, Penang",Penthouse,0,1,980 Sqft,Fully Furnished,"This property is a 980 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Mahkota Impian project in Mukim 8, Penang and was completed in Jul 2023. You can rent this penthouse long term for RM500 per month.
Studio unit Available +60 11-5930 2298
IF YOU ARE INTERESTED IN RENTING THE CONDO/APARTMENT 🏠,KINDLY GET IN TOUCH WITH THE LANDLORD ON WHATSAPP: +60 11-5930 2298
Apartment Features:
Modern kitchen equipped with refrigerator, oven, microwave, and complete cookware
Cozy living room with sofa, coffee table, and television
Facilities:
•-hour security
• Fully-equipped gymnasium
• Mini market
• Children’s playground
• Cafeteria
• Swimming pool
• Barbecue area
• Sky lounge
• Function room and more…
WhatsApp : +60 11-5930 2298","https://cdn.fazwaz.com/wbr/adN0IR0OgJNj0FXPxHa5Te9gymI/2850x1515/unit/5917736/img-5706.jpeg,https://cdn.fazwaz.com/wbr/ZTnaC1E4-fZtrpdwkASfLJeM9R8/250x250/unit/5917736/img-5707.jpeg,https://cdn.fazwaz.com/wbr/1gH1t-5hIvYYINPrAwhUSqJ28VM/250x250/unit/5917736/img-5708.jpeg,https://cdn.fazwaz.com/wbr/pv-QHrQW6f4PWosnZ3fBRDeKRVg/250x250/unit/5917736/img-5709.jpeg,https://cdn.fazwaz.com/wbr/Gth9-C5W9FBIMj5ok_HV7JJFmpk/250x250/unit/5917736/img-5710.jpeg",Private Owner,2025-12-08T12:32:39.296129+00:00
U5917731,Studio Penthouse for rent at Stramax Residences,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-stramax-residences-in-mukim-11-penang-u5917731,RM550,"Mukim 11, South Seberang Perai, Penang",Penthouse,0,1,500 Sqft,Fully Furnished,"This property is a 500 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Stramax Residences project in Mukim 11, Penang and was completed in Feb 2022. You can rent this penthouse long term for RM550 per month.
Looking for a happy tenant to make this unit a cute home!
IF YOU ARE INTERESTED IN RENTING THE CONDO/APARTMENT 🏠,KINDLY GET IN TOUCH WITH THE LANDLORD ON WHATSAPP: +60 11-5930 2298
Apartment Features:
Modern kitchen equipped with refrigerator, oven, microwave, and complete cookware
Cozy living room with sofa, coffee table, and television
Facilities:
•-hour security
• Fully-equipped gymnasium
• Mini market
• Children’s playground
• Cafeteria
• Swimming pool
• Barbecue area
• Sky lounge
• Function room and more…
WhatsApp : +60 11-5930 2298","https://cdn.fazwaz.com/wbr/fwYnifCg_hu6aHZzBT1izaxQYv0/2850x1515/unit/5917731/img-5757.jpeg,https://cdn.fazwaz.com/wbr/LvwnA6rNIYVWDftKKqOMUFs2iYk/250x250/unit/5917731/img-5758.jpeg,https://cdn.fazwaz.com/wbr/fiYsZGmT2uiwoZT2ROkEcsy3Xik/250x250/unit/5917731/img-5759.jpeg,https://cdn.fazwaz.com/wbr/g2rXD0LWAEpc4nCMzP1nuKOyhno/250x250/unit/5917731/img-5760.jpeg,https://cdn.fazwaz.com/wbr/3q2kJcmd7vln09zw-RKxSm5CB7M/250x250/unit/5917731/img-5761.jpeg",Private Owner,2025-12-08T12:32:39.296129+00:00
U5918577,Studio Penthouse for rent at Gelugor,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-gelugor-in-paya-terubong-penang-u5918577,RM750,"Paya Terubong, Timur Laut Northeast Penang, Penang",Penthouse,0,1,663 Sqft,Fully Furnished,"This property is a 663 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Gelugor project in Paya Terubong, Penang and was completed in Oct 2012. You can rent this penthouse long term for RM750 per month.
Fully furnished studio
Kitchen Cabinet,Mattress,TV,A/C,Sofa,Refrigerator,Bedframe,Water Heater,Dining Table,Hood & Hub,Wardrobe,Curtain,Microwave,Washing Machine
Facilities
Security 24 Hr,Swimming,Squasy,Elevator,Mart,Restaurant,Sauna,Playground,Badminton,Gym,Covered Parking
Kindly text the owner on WhatsApp on 60169413743 for more details","https://cdn.fazwaz.com/wbr/uU7vln2h68Q6fK6uyix8iVduSa8/2850x1515/unit/5918577/img-1445.jpeg,https://cdn.fazwaz.com/wbr/agnOXBF1wC90rsnMUAeyzRoCaR4/250x250/unit/5918577/img-1446.jpeg,https://cdn.fazwaz.com/wbr/yG8plfE4Phfwv3jT9Wi4IZjX7vQ/250x250/unit/5918577/img-1447.jpeg,https://cdn.fazwaz.com/wbr/AQx6uLh87xaU2BcFC3UF7yLsG0k/250x250/unit/5918577/img-1448.jpeg,https://cdn.fazwaz.com/wbr/b7hMh3_iAwvepZZpb7dBihvRK00/250x250/unit/5918577/img-1449.jpeg",Private Owner,2025-12-08T12:32:39.296129+00:00
U5913585,Studio Penthouse for rent at Granito,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-granito-in-bandaraya-georgetown-penang-u5913585,RM500,"Bandaraya Georgetown, Timur Laut Northeast Penang, Penang",Penthouse,0,1,630 Sqft,Fully Furnished,"This property is a 630 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Granito project in Bandaraya Georgetown, Penang and was completed in Aug 2021. You can rent this penthouse long term for RM500 per month.
Fully furnished studio
Kitchen Cabinet,Mattress,TV,A/C,Sofa,Refrigerator,Bedframe,Water Heater,Dining Table,Hood & Hub,Wardrobe,Curtain,Microwave,Washing Machine
Facilities
Security 24 Hr,Swimming,Squasy,Elevator,Mart,Restaurant,Sauna,Playground,Badminton,Gym,Covered Parking
Kindly text the owner on WhatsApp on 601162343286 for more details","https://cdn.fazwaz.com/wbr/-1m7nqaFVOsXLl3gAmN4OVMD5S8/2850x1515/unit/5913585/img-0199.jpeg,https://cdn.fazwaz.com/wbr/coW18lIg8W3qGT-Y2_lws0YMUJA/250x250/unit/5913585/img-0200.jpeg,https://cdn.fazwaz.com/wbr/Bfwa_-6YHcs-rwfHRGlAJlZ_VBc/250x250/unit/5913585/img-0201.jpeg,https://cdn.fazwaz.com/wbr/AIzMMLA5iDeOU6WpZqn6SI20yxI/250x250/unit/5913585/img-0202.jpeg,https://cdn.fazwaz.com/wbr/G04ZAZvJHHL7hRjUDiDEyTUB2Hc/250x250/unit/5913585/img-0203.jpeg",Private Owner,2025-12-08T12:32:39.296129+00:00
U5891364,Studio Penthouse for rent at Icon Residence - Penang,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-icon-residence-penang-in-bandaraya-georgetown-penang-u5891364,RM300,"Bandaraya Georgetown, Timur Laut Northeast Penang, Penang",Penthouse,0,1,500 Sqft,Fully Furnished,"This property is a 500 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Icon Residence - Penang project in Bandaraya Georgetown, Penang and was completed in Mar 2022. You can rent this penthouse long term for RM300 per month.
Looking for a happy, great tenant to make this cute!
IF YOU ARE INTERESTED IN RENTING THE CONDO/APARTMENT 🏠,KINDLY GET IN TOUCH WITH THE LANDLORD ON WHATSAPP:+60 10-438 1043
Apartment Features:
Modern kitchen equipped with refrigerator, oven, microwave, and complete cookware
Cozy living room with sofa, coffee table, and television
Facilities:
•-hour security
• Fully-equipped gymnasium
• Mini market
• Children’s playground
• Cafeteria
• Swimming pool
• Barbecue area
• Sky lounge
• Function room and more…
WhatsApp : +60 10-438 1043 Yeong","https://cdn.fazwaz.com/wbr/gHoiY8NtOWjpA4z4bDfN-__Ufbw/2850x1515/unit/5891364/img-0890.jpeg,https://cdn.fazwaz.com/wbr/rLdzoAvLievO9PyNxvdYFPa9lco/250x250/unit/5891364/img-0891.jpeg,https://cdn.fazwaz.com/wbr/bXlp97eh4GeVDcJtx3Gfof9_nJs/250x250/unit/5891364/img-0892.jpeg,https://cdn.fazwaz.com/wbr/pC_9k0EJzFq4GjHMHPZscu2Affc/250x250/unit/5891364/img-0893.jpeg,https://cdn.fazwaz.com/wbr/i8XZvfw74F2cnEn74RM09U8aYd0/250x250/unit/5891364/img-0894.jpeg",Private Owner,2025-12-08T12:32:39.296129+00:00
U5915557,1 Bedroom Penthouse for rent at Setia V Residences,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-setia-v-residences-in-bandaraya-georgetown-penang-u5915557,RM650,"Bandaraya Georgetown, Timur Laut Northeast Penang, Penang",Penthouse,1,1,706 Sqft,Fully Furnished,"This property is a 706 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Setia V Residences project in Bandaraya Georgetown, Penang and was completed in Apr 2018. You can rent this penthouse long term for RM650 per month.
FULLY FURNISHED SINGLE FOR RENT
💥Fully Furnished
✅Free Wifi
✅Washing Machine
✅Water Filter
✅Kettle
✅Kitchen for cook
✅Refrigerator
✅Cleaning service
.
⚡No Agent Fees
⚡FREE utilities (water & electricity)
Studio unit come with air-conditioner, fan, study table, chair & wardrobe
.
Message the owner on Whatsapp For more details 601161903950","https://cdn.fazwaz.com/wbr/sjJhtZjOJ3PZZOZpkCLCJrtKnes/2850x1515/unit/5915557/img-0314.jpeg,https://cdn.fazwaz.com/wbr/aUoaeRI5lFc5FEkf2j8x_Qj0Y2A/250x250/unit/5915557/img-0313.jpeg,https://cdn.fazwaz.com/wbr/dilcEtaTssgmFFbKGW77tR3QbDY/250x250/unit/5915557/img-0315.jpeg,https://cdn.fazwaz.com/wbr/oDVYoitAVZv4pqJZ5SGlhVuC9yc/250x250/unit/5915557/img-0316.jpeg,https://cdn.fazwaz.com/wbr/BJFO2lzJwAUPDXJAMC2GO-BCSN0/250x250/unit/5915557/img-0317.jpeg",Private Owner,2025-12-08T12:32:39.296129+00:00
U5918041,1 Bedroom Penthouse for rent at Summit 191,https://www.fazwaz.my/property-rent/1-bedroom-penthouse-for-rent-at-summit-191-in-bandaraya-georgetown-penang-u5918041,"RM1,730","Bandaraya Georgetown, Timur Laut Northeast Penang, Penang",Penthouse,1,1,220 Sqft,Fully Furnished,"This property is a 220 Sqft penthouse with 1 bedroom and 1 bathroom that is available for rent. It is part of the Summit 191 project in Bandaraya Georgetown, Penang and was completed in Sep 2004. You can rent this penthouse long term for RM1,730 per month.
Apartment Features: Modern kitchen equipped with refrigerato
Apartment Features:
Modern kitchen equipped with refrigerator, oven, microwave, and complete cookware
Cozy living room with sofa, coffee table, and television
+60 11 5930 2298 WhatsApp","https://cdn.fazwaz.com/wbr/xuPeM_kyoGK5upNW0ojCIf9Co6k/2850x1515/unit/5918041/img-0975.jpeg,https://cdn.fazwaz.com/wbr/mLpLid_UEDUz5FFmfa7x2VDOIiQ/250x250/unit/5918041/img-0976.jpeg,https://cdn.fazwaz.com/wbr/owrTCXYW17nxHytHDuZfZGokP2w/250x250/unit/5918041/img-0977.jpeg,https://cdn.fazwaz.com/wbr/rqTwRjJDTlop-a8o0ugf3Dp4jdw/250x250/unit/5918041/img-0978.jpeg,https://cdn.fazwaz.com/wbr/K9kdwUB_vVhTSKH9qGGdMh9KjuE/250x250/unit/5918041/img-0979.jpeg",Private Owner,2025-12-08T12:32:39.296129+00:00
U5916284,Studio Penthouse for rent at Middleton,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-middleton-in-bandaraya-georgetown-penang-u5916284,RM550,"Bandaraya Georgetown, Timur Laut Northeast Penang, Penang",Penthouse,0,1,640 Sqft,Fully Furnished,"This property is a 640 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Middleton project in Bandaraya Georgetown, Penang and was completed in Apr 2022. You can rent this penthouse long term for RM550 per month.
Fully furnished studio
Kitchen Cabinet,Mattress,TV,A/C,Sofa,Refrigerator,Bedframe,Water Heater,Dining Table,Hood & Hub,Wardrobe,Curtain,Microwave,Washing Machine
Facilities
Security 24 Hr,Swimming,Squasy,Elevator,Mart,Restaurant,Sauna,Playground,Badminton,Gym,Covered Parking
Kindly text the owner on WhatsApp on 601162343286 for more details","https://cdn.fazwaz.com/wbr/ugyDlG4tAJW_j0-mFnR3cE5VQMc/2850x1515/unit/5916284/img-0665.jpeg,https://cdn.fazwaz.com/wbr/-pg0jYoyAboasN-wsEved5g_YBg/250x250/unit/5916284/img-0666.jpeg,https://cdn.fazwaz.com/wbr/8laC39coYeyjuIQ8UFgX1EwhMU4/250x250/unit/5916284/img-0667.jpeg,https://cdn.fazwaz.com/wbr/SkuJm41rXix0LSOC25dw0J_D4W0/250x250/unit/5916284/img-0668.jpeg,https://cdn.fazwaz.com/wbr/b1G-nGFT7zYt4aoFf6AFeh_27-Q/250x250/unit/5916284/img-0669.jpeg",Private Owner,2025-12-08T12:32:39.296129+00:00
U5899714,Studio Penthouse for rent at Mont Residence @ Penang,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-mont-residence-at-penang-in-bandaraya-georgetown-penang-u5899714,RM600,"Bandaraya Georgetown, Timur Laut Northeast Penang, Penang",Penthouse,0,1,980 Sqft,Fully Furnished,"This property is a 980 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Mont Residence @ Penang project in Bandaraya Georgetown, Penang and was completed in Mar 2022. You can rent this penthouse long term for RM600 per month.
Fully furnished studio for rent
Kitchen Cabinet, Mattress, TV,A/C,Sofa, Refrigerator, Bedframe, Wate Heater, Dining Table, Hood &
Hub, Wardrobe, Curtain, Microwave, Washing Machine Facilities
Security 24
Hr, Swimming, Squasy, Elevator, Mart, Restaurant, Sauna, Pla)
Parking
Kindly text the landlord on WhatsApp ‪ ‪ ‪ ‪+601167748230‬ ‬ for more information","https://cdn.fazwaz.com/wbr/Wyn8HJpooRhuMWZMAzgGC0_s6eo/2850x1515/unit/5899714/img-0785.jpeg,https://cdn.fazwaz.com/wbr/cPsuJrnSCj4XUktP2X6I_lVdQe4/250x250/unit/5899714/img-0786.jpeg,https://cdn.fazwaz.com/wbr/E5aVkHo3D-o_UcV7XBQmMkc305Q/250x250/unit/5899714/img-0787.jpeg,https://cdn.fazwaz.com/wbr/xU9nLVvHl4c5bILTxnkUkNaT6M0/250x250/unit/5899714/img-0788.jpeg,https://cdn.fazwaz.com/wbr/Z8lLIWCpxCLcAJ4DWhekfAh7bWA/250x250/unit/5899714/img-0789.jpeg",Private Owner,2025-12-08T12:32:39.296129+00:00
U5915564,Studio Penthouse for rent at Gurney Paragon Residences,https://www.fazwaz.my/property-rent/studio-penthouse-for-rent-at-gurney-paragon-residences-in-bandaraya-georgetown-penang-u5915564,RM600,"Bandaraya Georgetown, Timur Laut Northeast Penang, Penang",Penthouse,0,1,503 Sqft,Fully Furnished,"This property is a 503 Sqft studio penthouse with 1 bathroom that is available for rent. It is part of the Gurney Paragon Residences project in Bandaraya Georgetown, Penang and was completed in Nov 2010. You can rent this penthouse long term for RM600 per month.
FULLY FURNISHED Studio FOR RENT
💥Fully Furnished
✅Free Wifi
✅Washing Machine
✅Water Filter
✅Kettle
✅Kitchen for cook
✅Refrigerator
✅Cleaning service
.
⚡No Agent Fees
⚡FREE utilities (water & electricity)
Studio unit come with air-conditioner, fan, study table, chair & wardrobe
.
Message the owner on Whatsapp For more details 601161903950","https://cdn.fazwaz.com/wbr/s-XXuu4rsihqBpUzlLC0JjZgFSc/2850x1515/unit/5915564/img-0849.jpeg,https://cdn.fazwaz.com/wbr/_2S9O5DgKMxnrC8bZOuhxgE_E4E/250x250/unit/5915564/img-0850.jpeg,https://cdn.fazwaz.com/wbr/7A8cNTAU_tXCEwmTorLA4SNOSsc/250x250/unit/5915564/img-0851.jpeg,https://cdn.fazwaz.com/wbr/FUlx65hk6T2mvoXPyPOXEThk1Xw/250x250/unit/5915564/img-0852.jpeg,https://cdn.fazwaz.com/wbr/jsT6Zqo8T15aNgiCZAdqhU_cVwA/250x250/unit/5915564/img-0853.jpeg",Private Owner,2025-12-08T12:32:39.296129+00:00
